-3,0.994268
-2.99,0.994209
-2.98,0.99415
-2.97,0.994091
-2.96,0.994025
-2.95,0.993965
-2.94,0.993905
-2.93,0.993838
-2.92,0.993776
-2.91,0.993709
-2.9,0.993647
-2.89,0.993578
-2.88,0.993515
-2.87,0.993446
-2.86,0.993376
-2.85,0.993306
-2.84,0.993241
-2.83,0.99317
-2.82,0.993098
-2.81,0.993026
-2.8,0.992954
-2.79,0.992875
-2.78,0.992802
-2.77,0.992728
-2.76,0.992654
-2.75,0.992573
-2.74,0.992497
-2.73,0.992422
-2.72,0.992339
-2.71,0.992257
-2.7,0.992179
-2.69,0.992095
-2.68,0.992011
-2.67,0.991926
-2.66,0.991847
-2.65,0.991761
-2.64,0.991674
-2.63,0.991587
-2.62,0.991493
-2.61,0.991405
-2.6,0.991316
-2.59,0.991227
-2.58,0.991131
-2.57,0.99104
-2.56,0.990943
-2.55,0.990845
-2.54,0.990753
-2.53,0.990654
-2.52,0.990554
-2.51,0.990454
-2.5,0.990353
-2.49,0.990251
-2.48,0.990149
-2.47,0.990046
-2.46,0.989936
-2.45,0.989832
-2.44,0.989721
-2.43,0.989615
-2.42,0.989502
-2.41,0.989389
-2.4,0.989275
-2.39,0.989166
-2.38,0.989051
-2.37,0.988929
-2.36,0.988811
-2.35,0.988694
-2.34,0.988575
-2.33,0.98845
-2.32,0.988329
-2.31,0.988202
-2.3,0.988074
-2.29,0.987945
-2.28,0.987816
-2.27,0.987685
-2.26,0.987554
-2.25,0.987421
-2.24,0.987282
-2.23,0.987148
-2.22,0.987007
-2.21,0.986871
-2.2,0.986728
-2.19,0.986584
-2.18,0.986439
-2.17,0.986293
-2.16,0.98614
-2.15,0.985992
-2.14,0.985843
-2.13,0.985687
-2.12,0.98553
-2.11,0.985372
-2.1,0.985213
-2.09,0.985052
-2.08,0.984891
-2.07,0.984722
-2.06,0.984558
-2.05,0.984387
-2.04,0.984215
-2.03,0.984048
-2.02,0.983867
-2.01,0.983691
