-0.89,10414.3,1180.75,-17322.2,-12775.8,-4723
-0.9,10610.5,1184.67,-17939.5,-12979.8,-4738.67
-0.91,10808.7,1188.52,-18573.2,-13185.8,-4754.1
-0.92,11008.9,1192.32,-19223.4,-13393.5,-4769.27
-0.93,11210.9,1196.04,-19890.1,-13603,-4784.16
-0.94,11411.1,1199.43,-20560.2,-13809.9,-4797.72
-0.95,11620.4,1203.26,-21272.9,-14026.9,-4813.02
-0.96,11827.5,1206.74,-21988.9,-14241,-4826.94
-0.97,12036.2,1210.12,-22721,-14456.5,-4840.49
-0.98,12250.5,1213.69,-23484.7,-14677.8,-4854.74
-0.99,12461.9,1216.87,-24249.3,-14895.7,-4867.5
-1,12678.9,1220.23,-25046.2,-15119.4,-4880.93
-1.01,12897.2,1223.48,-25859.6,-15344.1,-4893.92
-1.02,13121.1,1226.9,-26707.5,-15574.9,-4907.6
-1.03,13346.3,1230.2,-27572.8,-15806.7,-4920.81
-1.04,13572.6,1233.38,-28454.8,-16039.3,-4933.53
-1.05,13799.7,1236.43,-29353.3,-16272.6,-4945.74
-1.06,14027.6,1239.35,-30267.5,-16506.3,-4957.39
-1.07,14261.3,1242.42,-31219.3,-16746.1,-4969.7
-1.08,14495.6,1245.36,-32187.3,-16986.3,-4981.43
-1.09,14735.9,1248.45,-33195.1,-17232.8,-4993.81
-1.1,14976.7,1251.4,-34219.5,-17479.5,-5005.59
-1.11,15217.9,1254.18,-35259.5,-17726.2,-5016.74
-1.12,15465.1,1257.13,-36341.7,-17979.4,-5028.51
-1.13,15712.5,1259.91,-37439.7,-18232.3,-5039.63
-1.14,15959.8,1262.51,-38552.4,-18484.8,-5050.04
-1.15,16213.3,1265.27,-39709.4,-18743.8,-5061.07
-1.16,16473.1,1268.18,-40913,-19009.5,-5072.73
-1.17,16732.8,1270.91,-42132.4,-19274.6,-5083.66
-1.18,16991.9,1273.45,-43365.9,-19538.8,-5093.81
-1.19,17257.5,1276.14,-44648.2,-19809.8,-5104.58
-1.2,17522.4,1278.63,-45944.3,-20079.7,-5114.53
-1.21,17786.3,1280.91,-47252.2,-20348.1,-5123.64
-1.22,18064.3,1283.7,-48651.3,-20631.7,-5134.81
-1.23,18333.4,1285.91,-50022.3,-20905.2,-5143.63
-1.24,18617.1,1288.64,-51489.7,-21194.4,-5154.55
-1.25,18891.3,1290.76,-52924.8,-21472.8,-5163.04
-1.26,19180.6,1293.41,-54461.7,-21767.4,-5173.65
-1.27,19459.5,1295.44,-55961.5,-22050.4,-5181.75
